Time: 2016-12-22 09:44:36 ms:155 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:155 Level: LOG INFO     Message: [CT,R,0]
Time: 2016-12-22 09:44:36 ms:156 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:156 Level: LOG INFO     Message: [DP,R,0]
Time: 2016-12-22 09:44:36 ms:157 Level: LOG INFO     Message: [0,02]
Time: 2016-12-22 09:44:36 ms:157 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:44:36 ms:158 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:44:36 ms:158 Level: LOG INFO     Message: [DA,R,0]
Time: 2016-12-22 09:44:36 ms:160 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:160 Level: LOG INFO     Message: [EM,R,0]
Time: 2016-12-22 09:44:36 ms:161 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:161 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2016-12-22 09:44:36 ms:162 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:44:36 ms:181 Level: LOG INFO     Message: [TP,W,0,2]
Time: 2016-12-22 09:44:36 ms:182 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:44:36 ms:898 Level: LOG INFO     Message: [GT,R,0]
Time: 2016-12-22 09:44:36 ms:899 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:899 Level: LOG INFO     Message: [CT,R,0]
Time: 2016-12-22 09:44:36 ms:900 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:900 Level: LOG INFO     Message: [OM,R,0]
Time: 2016-12-22 09:44:36 ms:902 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:902 Level: LOG INFO     Message: [PD,R,0]
Time: 2016-12-22 09:44:36 ms:903 Level: LOG INFO     Message: [0,10]
Time: 2016-12-22 09:44:36 ms:903 Level: LOG INFO     Message: [DA,R,0]
Time: 2016-12-22 09:44:36 ms:904 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:904 Level: LOG INFO     Message: [EM,R,0]
Time: 2016-12-22 09:44:36 ms:906 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:36 ms:906 Level: LOG INFO     Message: [DP,R,0]
Time: 2016-12-22 09:44:36 ms:907 Level: LOG INFO     Message: [0,02]
Time: 2016-12-22 09:44:36 ms:907 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:44:36 ms:909 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:44:38 ms:684 Level: LOG INFO     Message: [ST,R,0]
Time: 2016-12-22 09:44:38 ms:685 Level: LOG INFO     Message: [0,000003E8]
Time: 2016-12-22 09:44:38 ms:685 Level: LOG INFO     Message: [NT,R,0]
Time: 2016-12-22 09:44:38 ms:686 Level: LOG INFO     Message: [0,03E8]
Time: 2016-12-22 09:44:38 ms:686 Level: LOG INFO     Message: [LC,R,0]
Time: 2016-12-22 09:44:38 ms:687 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:44:38 ms:687 Level: LOG INFO     Message: [ED,R,0]
Time: 2016-12-22 09:44:38 ms:688 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:44:38 ms:689 Level: LOG INFO     Message: [CN,R,0]
Time: 2016-12-22 09:44:38 ms:690 Level: LOG INFO     Message: [0,2010101000]
Time: 2016-12-22 09:44:39 ms:117 Level: LOG INFO     Message: [EG,R,0]
Time: 2016-12-22 09:44:39 ms:118 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:118 Level: LOG INFO     Message: [BS,R,0]
Time: 2016-12-22 09:44:39 ms:118 Level: LOG INFO     Message: [0,0000]
Time: 2016-12-22 09:44:39 ms:118 Level: LOG INFO     Message: [EB,R,0]
Time: 2016-12-22 09:44:39 ms:119 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:119 Level: LOG INFO     Message: [EL,R,0]
Time: 2016-12-22 09:44:39 ms:119 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:119 Level: LOG INFO     Message: [LM,R,0]
Time: 2016-12-22 09:44:39 ms:120 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:120 Level: LOG INFO     Message: [TD,R,0]
Time: 2016-12-22 09:44:39 ms:120 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:44:39 ms:120 Level: LOG INFO     Message: [RD,R,0]
Time: 2016-12-22 09:44:39 ms:121 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:44:39 ms:121 Level: LOG INFO     Message: [EF,R,0]
Time: 2016-12-22 09:44:39 ms:121 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:121 Level: LOG INFO     Message: [FM,R,0]
Time: 2016-12-22 09:44:39 ms:122 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:122 Level: LOG INFO     Message: [FD,R,0]
Time: 2016-12-22 09:44:39 ms:123 Level: LOG INFO     Message: [0,01]
Time: 2016-12-22 09:44:39 ms:123 Level: LOG INFO     Message: [AF,R,0]
Time: 2016-12-22 09:44:39 ms:123 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:39 ms:123 Level: LOG INFO     Message: [SU,R,0]
Time: 2016-12-22 09:44:39 ms:124 Level: LOG INFO     Message: [0,00]
Time: 2016-12-22 09:44:40 ms:684 Level: LOG INFO     Message: [SF,W,0,1]
Time: 2016-12-22 09:44:40 ms:685 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:44:40 ms:687 Level: LOG WARNING  Message: DM 26 packet crc error
Time: 2016-12-22 09:44:40 ms:687 Level: LOG WARNING  Message: DM 29 packet crc error
Time: 2016-12-22 09:44:40 ms:687 Level: LOG WARNING  Message: DM 32 packet crc error
Time: 2016-12-22 09:44:40 ms:687 Level: LOG WARNING  Message: DM 35 packet crc error
Time: 2016-12-22 09:44:40 ms:687 Level: LOG WARNING  Message: DM 56 packet crc error
Time: 2016-12-22 09:44:40 ms:688 Level: LOG WARNING  Message: DM 26 packet crc error
Time: 2016-12-22 09:44:40 ms:688 Level: LOG WARNING  Message: DM 29 packet crc error
Time: 2016-12-22 09:44:40 ms:688 Level: LOG WARNING  Message: DM 32 packet crc error
Time: 2016-12-22 09:44:40 ms:688 Level: LOG WARNING  Message: DM 35 packet crc error
Time: 2016-12-22 09:44:40 ms:688 Level: LOG WARNING  Message: DM 56 packet crc error
Time: 2016-12-22 09:44:41 ms:273 Level: LOG INFO     Message: [SF,W,0,0]
Time: 2016-12-22 09:44:41 ms:275 Level: LOG INFO     Message: [0]
Time: 2016-12-22 09:44:42 ms:183 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:42 ms:183 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:42 ms:183 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:43 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:43 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:43 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:44 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:44 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:44 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:45 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:45 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:45 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:46 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:46 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:46 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:47 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:47 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:47 ms:192 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:48 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:48 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:48 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:49 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:49 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:49 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:50 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:50 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:50 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:51 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:51 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:51 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:52 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:52 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:52 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:53 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:53 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:53 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:54 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:54 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:54 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:55 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:55 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:55 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:56 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:56 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:56 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:57 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:57 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:57 ms:193 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:58 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:58 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:58 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:59 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:59 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:44:59 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
Time: 2016-12-22 09:45:00 ms:194 Level: LOG ERROR    Message: XCmd heartbeat voltage error
